wheel_1_Force_x,wheel_1_Force_y,wheel_1_Force_z,wheel_2_Force_x,wheel_2_Force_y,wheel_2_Force_z,wheel_3_Force_x,wheel_3_Force_y,wheel_3_Force_z,wheel_4_Force_x,wheel_4_Force_y,wheel_4_Force_z,,,
0.0,0.0,123.061,0.0,0.0,175.54517,-2.5185665e-12,1.9037815e-13,121.98823,0.0,0.0,178.70517
0.0,0.0,86.309044,-4.4972772e-11,4.8259713e-05,202.49509,0.0,0.0,74.025085,0.0,0.0,218.63177
0.0,0.0,121.13719,0.0,0.0,160.719,-2.2422374e-12,1.693474e-12,130.63565,0.0,0.0,139.34778
0.0,0.0,122.88054,0.0,0.0,173.84079,-1.5802382e-12,2.5212076e-12,122.31128,0.0,0.0,165.04211
0.0,0.0,128.17293,0.0,0.0,166.84827,-3.640558e-12,-5.1813337e-12,124.71417,0.0,0.0,172.00822
0.0,0.0,82.21096,-3.0106303e-11,0.00012927217,197.24153,0.0,0.0,93.038055,0.0,0.0,200.93178
0.0,0.0,128.79001,0.0,0.0,157.42648,-1.4238164e-12,4.2195173e-13,119.617065,0.0,0.0,164.31317
0.0,0.0,84.85393,-3.717227e-14,0.00019110617,203.64708,0.0,0.0,78.543564,0.0,0.0,214.90477
0.0,0.0,126.04987,0.0,0.0,160.8259,-1.378677e-12,1.2265829e-12,117.70598,0.0,0.0,151.18646
0.0,0.0,130.28174,0.0,0.0,155.24245,-4.1374987e-11,-1.5853694e-12,116.71783,0.0,0.0,166.10039
0.0,0.0,126.55529,0.0,0.0,156.3659,-4.799736e-12,3.4992777e-12,127.20958,0.0,0.0,158.41429
0.0,0.0,118.28849,0.0,0.0,151.2331,2.0004974e-12,2.2358556e-12,125.0508,0.0,0.0,128.11617
0.0,0.0,122.41988,0.0,0.0,174.70625,-1.176984e-12,2.5510904e-12,124.06947,0.0,0.0,179.26196
0.0,0.0,126.82509,0.0,0.0,160.32883,-1.7574219e-12,6.041242e-13,126.90596,0.0,0.0,156.42296
0.0,0.0,124.52985,0.0,0.0,138.16176,-4.0692452e-13,9.515701e-13,118.423004,0.0,0.0,129.4501
0.0,0.0,126.47933,0.0,0.0,149.59251,-1.1829724e-12,1.3534875e-12,129.48657,0.0,0.0,134.7836
0.0,0.0,124.09181,0.0,0.0,167.96191,-5.306991e-13,2.8209397e-12,126.33411,0.0,0.0,160.78342
-5.4465613e-06,4.357232e-05,83.61076,0.0,0.0,199.5562,0.0,0.0104106795,88.48894,0.0,0.0,214.87556
0.0,0.0,124.23337,0.0,0.0,164.98859,-1.0281552e-12,4.8396617e-13,117.23305,0.0,0.0,149.30055
0.0,0.0,79.332085,0.0,0.0,205.3565,0.0,0.0,89.25507,0.0,0.0,209.4358
0.0,0.0,117.8117,0.0,0.0,163.4282,-4.2484753e-12,4.041328e-12,136.95155,0.0,0.0,144.4671
